Date,Time,Temperature,Humidity,Servo Rotation (Degrees)
05/01/2021,14:04:35,24.1,71.4,0
05/01/2021,14:04:41,24.1,72.0,0
05/01/2021,14:04:46,24.1,72.0,0
05/01/2021,14:04:52,24.1,71.9,0
05/01/2021,14:10:22,24.1,72.1,0
05/01/2021,14:10:33,24.1,72.2,0
05/01/2021,14:10:40,24.1,72.5,0
05/01/2021,14:10:46,24.1,72.5,0
05/01/2021,14:10:52,24.3,72.4,0
05/01/2021,14:10:57,24.6,71.9,0
05/01/2021,14:11:03,25.1,71.2,0
05/01/2021,14:11:08,25.5,70.3,0
05/01/2021,14:11:14,25.9,69.3,0
05/01/2021,14:11:19,26.4,68.2,0
05/01/2021,14:11:29,27.5,65.4,0
05/01/2021,14:11:35,27.6,64.8,0
05/01/2021,14:11:40,28.0,63.6,0
05/01/2021,14:11:46,28.4,62.5,0
05/01/2021,14:11:52,28.7,61.3,0
05/01/2021,14:11:57,29.1,60.2,0
05/01/2021,14:12:06,29.6,58.4,0
05/01/2021,14:12:11,29.7,58.2,0
05/01/2021,14:12:16,29.8,57.7,0
05/01/2021,14:12:21,29.9,57.2,0
05/01/2021,14:12:26,30.1,56.9,180
05/01/2021,14:12:32,30.2,56.5,180
05/01/2021,14:12:38,30.3,56.1,180
05/01/2021,14:12:46,30.2,55.5,180
05/01/2021,14:13:00,29.7,55.5,180
05/01/2021,14:13:05,29.6,55.6,180
05/01/2021,14:13:10,29.4,55.7,180
05/01/2021,14:13:15,29.2,55.8,180
05/01/2021,14:13:20,29.0,56.0,0
05/01/2021,14:13:28,28.7,56.5,0
05/01/2021,14:13:36,28.5,56.9,0
05/01/2021,14:13:41,28.4,57.0,0
05/01/2021,14:13:47,28.3,57.4,0
05/01/2021,14:13:52,28.1,57.6,0
05/01/2021,14:13:58,28.0,57.9,0
