Date,Time,Temperature,Humidity,Servo Rotation (Degrees),Motion Status
22/01/2021,00:16:24,24.9,70.9,0,No Motion Detected
22/01/2021,00:16:30,24.9,70.8,0,No Motion Detected
22/01/2021,00:16:38,24.9,70.8,0,No Motion Detected
22/01/2021,00:16:44,24.9,69.4,0,No Motion Detected
22/01/2021,00:16:55,24.9,70.8,0,Motion Detected
22/01/2021,00:17:00,24.9,70.8,0,No Motion Detected
22/01/2021,00:17:10,24.9,70.7,0,Motion Detected
22/01/2021,00:17:16,24.9,70.6,0,No Motion Detected
22/01/2021,00:17:22,24.9,70.6,0,No Motion Detected
22/01/2021,00:17:31,24.9,70.5,0,Motion Detected
22/01/2021,00:17:41,24.9,70.4,0,No Motion Detected
22/01/2021,00:17:50,24.9,70.3,0,Motion Detected
22/01/2021,00:18:12,25.0,70.4,0,No Motion Detected
22/01/2021,00:18:18,25.0,70.4,0,No Motion Detected
22/01/2021,00:18:29,25.0,70.4,0,Motion Detected
22/01/2021,00:18:38,25.0,70.4,0,Motion Detected
22/01/2021,00:18:43,25.0,70.4,0,No Motion Detected
22/01/2021,00:18:50,25.0,69.0,0,Motion Detected
22/01/2021,00:18:56,25.0,70.4,0,No Motion Detected
22/01/2021,00:19:03,25.0,70.4,0,No Motion Detected
22/01/2021,00:19:09,25.0,70.4,0,No Motion Detected
22/01/2021,00:19:15,25.0,70.3,0,No Motion Detected
22/01/2021,00:19:20,25.0,70.3,0,No Motion Detected
22/01/2021,00:19:26,25.0,70.5,0,No Motion Detected
22/01/2021,00:19:32,25.0,70.3,0,No Motion Detected
